Gi,GVhel,mag,Type,Type I Label
36.0,8590.0,18.7,Ia,Type I
71.0,4172.0,17.7,Ia,Type I
70.0,6811.0,16.2,Ia,Type I
90.0,7285.0,17.6,Ib/c,Type I
60.0,7627.0,16.6,Ia,Type I
71.0,5425.0,15.8,Ia,Type I
32.0,4295.0,14.7,IaPec,Type I
65.0,12320.0,16.4,Ia,Type I
17.0,4921.0,18.0,Ib,Type I
38.0,9997.0,17.1,Ib,Type I
30.0,10894.0,19.0,Ia,Type I
57.0,5388.0,16.4,Ia,Type I
32.0,8853.0,18.2,Ib,Type I
30.0,4488.0,15.1,I,Type I
43.0,4513.0,17.8,Ia,Type I
43.0,583.0,15.0,I,Type I
62.0,5783.0,15.5,Ia,Type I
30.0,4963.0,18.1,Ib/c,Type I
55.0,5881.0,18.2,Ic,Type I
17.0,8523.0,16.0,IaPec,Type I
69.0,5989.0,17.1,Ia,Type I
56.0,3503.0,14.0,Ia,Type I
48.0,5190.0,15.9,Ia,Type I
74.0,10494.0,17.0,Ia,Type I
0.0,5012.0,15.0,Ia,Type I
71.0,6253.0,17.5,I,Type I
68.0,5319.0,15.0,Ia,Type I
47.0,4114.0,15.4,Ia,Type I
77.0,4758.0,14.6,Ia,Type I
50.0,5654.0,15.5,Ia,Type I
24.0,13599.0,17.8,Ia,Type I
56.0,10869.0,16.2,Ia:,Type I
34.0,8994.0,16.3,Ia,Type I
55.0,3777.0,17.5,Ic,Type I
74.0,11313.0,17.2,Ia,Type I
84.0,8018.0,16.1,Ia,Type I
76.0,626.0,12.9,Ia,Type I
38.0,6493.0,17.3,Ic,Type I
47.0,11103.0,16.5,Ia,Type I
65.0,6388.0,17.3,IaPec,Type I
47.0,10664.0,18.6,Ic,Type I
21.0,15000.0,18.5,Ia,Type I
66.0,5876.0,15.4,Ia,Type I
74.0,-300.0,5.8,IPec,Type I
59.0,4114.0,16.1,Ia,Type I
47.0,3934.0,17.6,Ib,Type I
47.0,3934.0,17.8,Ia,Type I
43.0,2476.0,16.1,Ic,Type I
17.0,1556.0,15.2,Ib:,Type I
55.0,5511.0,17.8,Ia,Type I
38.0,1354.0,13.9,Ia,Type I
47.0,6017.0,16.9,Ia,Type I
55.0,1157.0,13.1,Ia,Type I
70.0,1271.0,13.8,Ia,Type I
70.0,1271.0,16.6,Ia,Type I
17.0,7714.0,16.8,Ia,Type I
62.0,4059.0,14.9,Ia,Type I
30.0,26682.0,19.2,Ia,Type I
59.0,5938.0,17.8,Ib,Type I
46.0,6299.0,18.9,Ic,Type I
32.0,7616.0,18.5,I,Type I
41.0,4330.0,14.8,IaPec,Type I
75.0,4480.0,16.6,I,Type I
65.0,3582.0,15.5,I,Type I
38.0,7023.0,18.6,Ia,Type I
77.0,5535.0,16.6,Ia,Type I
56.0,2135.0,13.7,Ia,Type I
79.0,1947.0,17.5,Ib,Type I
50.0,16489.0,17.8,Ia,Type I
44.0,6303.0,16.3,Ia,Type I
58.0,5164.0,16.7,Ib,Type I
84.0,5086.0,17.3,Ia,Type I
73.0,4753.0,16.5,IcPec,Type I
61.0,1586.0,13.6,Ia,Type I
86.0,10727.0,15.0,Ia,Type I
64.0,8914.0,18.0,Ia,Type I
36.0,2080.0,16.3,Ia,Type I
12.0,809.0,13.6,Ib,Type I
62.0,1052.0,14.4,Ia,Type I
52.0,10003.0,18.1,Ia,Type I
55.0,1541.0,13.4,Ia,Type I
30.0,5144.0,16.8,Ib/c,Type I
90.0,6795.0,17.3,Ib/c,Type I
90.0,4841.0,17.2,Ia,Type I
73.0,663.0,17.3,Ib:,Type I
58.0,7919.0,16.3,Ia,Type I
30.0,1109.0,12.4,Ia,Type I
21.0,954.0,13.3,Ia,Type I
21.0,954.0,12.3,Ia,Type I
56.0,16000.0,17.1,Ia,Type I
32.0,16788.0,17.4,IaPec,Type I
51.0,16489.0,17.8,Ia,Type I
69.0,1716.0,14.0,Ic,Type I
24.0,3188.0,16.3,Ic,Type I
17.0,993.0,14.1,Ib/c,Type I
47.0,16908.0,19.0,Ia,Type I
47.0,7254.0,16.6,Ia,Type I
47.0,3121.0,14.0,Ib,Type I
24.0,9978.0,17.0,Ia,Type I
68.0,6935.0,17.2,Ia,Type I
41.0,4059.0,16.5,Ib,Type I
36.0,5260.0,16.8,Ic,Type I
47.0,7907.0,18.0,Ic,Type I
21.0,3504.0,16.5,IcPec,Type I
47.0,3034.0,14.2,Ia,Type I
50.0,5719.0,15.3,Ia,Type I
53.0,7668.0,18.8,Ia,Type I
57.0,5966.0,16.9,Ia,Type I
73.0,4998.0,15.5,Ia,Type I
73.0,4998.0,18.0,Ia,Type I
36.0,7908.0,17.0,Ia,Type I
57.0,3280.0,14.7,Ia,Type I
51.0,6798.0,17.5,Ib,Type I
74.0,4500.0,14.2,Ia,Type I
41.0,4053.0,17.5,Ib,Type I
63.0,638.0,14.2,IPec,Type I
63.0,638.0,13.1,IaPec,Type I
64.0,5777.0,18.3,Ia,Type I
38.0,5079.0,16.7,Ia,Type I
74.0,1518.0,14.8,Ib/c,Type I
90.0,1125.0,17.7,Ic,Type I
50.0,5158.0,16.8,Ia,Type I
86.0,6591.0,17.4,Ib/c,Type I
90.0,2696.0,15.8,Ia,Type I
30.0,2820.0,14.5,Ia,Type I
34.0,7221.0,16.5,Ia,Type I
59.0,5927.0,16.2,Ia,Type I
38.0,3809.0,17.8,Ia,Type I
21.0,11200.0,18.5,Ia,Type I
90.0,7115.0,16.6,Ia,Type I
60.0,4888.0,16.6,Ia,Type I
51.0,4059.0,15.6,Ia,Type I
61.0,6538.0,16.2,Ia,Type I
71.0,1476.0,13.9,Ia,Type I
24.0,3470.0,16.8,Ia,Type I
56.0,2204.0,14.2,Ia,Type I
61.0,2222.0,13.5,Ia,Type I
43.0,11798.0,17.0,I,Type I
44.0,12814.0,16.9,Ia,Type I
0.0,6613.0,15.8,Ia,Type I
72.0,2169.0,14.4,Ia,Type I
66.0,11167.0,18.0,Ia,Type I
47.0,11018.0,16.6,Ia,Type I
90.0,5495.0,17.1,Ic,Type I
0.0,10051.0,17.5,Ia,Type I
44.0,15830.0,18.5,Ia,Type I
40.0,19187.0,19.5,Ia,Type I
77.0,5166.0,18.5,Ib/cPec,Type I
57.0,9067.0,16.7,Ia,Type I
43.0,11138.0,16.9,Ia,Type I
56.0,10403.0,18.1,I,Type I
40.0,6868.0,17.0,I,Type I
51.0,22594.0,17.5,Ia,Type I
70.0,10408.0,16.4,Ia,Type I
87.0,6663.0,17.1,Ia,Type I
34.0,18353.0,18.0,Ia:,Type I
12.0,8857.0,17.2,Ia,Type I
38.0,8429.0,16.0,Ia,Type I
48.0,8637.0,15.7,Ia,Type I
34.0,9546.0,17.4,Ic,Type I
32.0,8957.0,18.0,Ia,Type I
86.0,10804.0,18.2,Ia,Type I
48.0,9186.0,18.0,Ib/c,Type I
70.0,6378.0,18.4,Ic,Type I
27.0,9392.0,16.1,Ia,Type I
30.0,9422.0,18.0,Ia,Type I
90.0,6595.0,17.5,Ia,Type I
38.0,5962.0,16.8,Ia,Type I
44.0,9224.0,18.8,Ic:,Type I
27.0,11992.0,17.1,Ia,Type I
62.0,9003.0,16.7,Ia,Type I
47.0,5595.0,18.1,I:,Type I
62.0,8496.0,18.0,Ia,Type I
44.0,7918.0,18.6,Ib,Type I
55.0,11950.0,18.5,Ia,Type I
48.0,7654.0,18.7,Ia,Type I
62.0,6248.0,15.4,I,Type I
36.0,5608.0,18.8,Ic,Type I
73.0,6989.0,15.8,I,Type I
50.0,7265.0,15.7,Ia,Type I
53.0,8936.0,16.1,Ia,Type I
36.0,10114.0,17.3,Ia,Type I
38.0,7322.0,19.5,Ia:,Type I
67.0,7353.0,15.8,Ia,Type I
43.0,7120.0,16.3,Ia,Type I
83.0,5032.0,17.5,Ic,Type I
70.0,3689.0,15.5,Ia,Type I
71.0,2751.0,16.3,Ia,Type I
90.0,2237.0,17.9,Ib/cPec,Type I
60.0,3491.0,15.9,Ic:,Type I
38.0,3042.0,15.5,Ia,Type I
24.0,17911.0,17.4,Ia,Type I
58.0,8094.0,16.6,Ia,Type I
65.0,946.0,16.9,Ia:,Type I
24.0,321.0,8.5,Ia,Type I
0.0,10493.0,16.2,Ia,Type I
54.0,504.0,11.9,Ia,Type I
21.0,8134.0,16.6,IaPec,Type I
40.0,544.0,12.1,Ib,Type I
81.0,566.0,14.5,I,Type I
47.0,463.0,13.7,Ic,Type I
41.0,7541.0,17.0,Ic,Type I
73.0,11700.0,18.0,Ia,Type I
50.0,24013.0,18.0,Ia,Type I
76.0,4806.0,14.4,Ia,Type I
41.0,2513.0,16.0,Ib,Type I
27.0,10715.0,17.5,Ic:,Type I
53.0,3390.0,15.6,I,Type I
36.0,10859.0,16.0,Ia,Type I
44.0,2000.0,14.2,Ia,Type I
72.0,13531.0,17.1,Ia,Type I
46.0,1914.0,13.4,Ia,Type I
38.0,12483.0,16.5,Ia,Type I
41.0,9244.0,19.2,Ia,Type I
69.0,10793.0,17.0,Ia,Type I
32.0,6540.0,15.4,Ia,Type I
60.0,6687.0,17.7,Ib/c,Type I
27.0,8750.0,18.2,Ia,Type I
90.0,2041.0,14.9,Ia,Type I
50.0,25362.0,17.5,Ic,Type I
36.0,2732.0,16.8,Ic,Type I
67.0,12200.0,16.1,Ia,Type I
57.0,6637.0,15.2,Ia,Type I
73.0,6204.0,16.1,Ia,Type I
73.0,4694.0,16.4,Ia,Type I
79.0,4707.0,16.2,Ia,Type I
21.0,4812.0,17.5,Ia,Type I
72.0,5844.0,18.6,Ib/c,Type I
60.0,7355.0,18.6,Ic:,Type I
21.0,4708.0,15.7,Ia,Type I
17.0,4839.0,16.8,Ic,Type I
73.0,10328.0,18.1,Ia,Type I
50.0,8255.0,17.6,Ia,Type I
67.0,7152.0,16.5,Ia,Type I
41.0,6610.0,17.0,Ia,Type I
0.0,6576.0,14.9,Ia,Type I
64.0,6430.0,17.5,Ia,Type I
73.0,4493.0,15.8,Ia,Type I
90.0,4872.0,17.7,IaPec,Type I
74.0,5444.0,17.8,Ib,Type I
43.0,5338.0,18.0,Ia,Type I
70.0,9313.0,17.2,Ia,Type I
44.0,8945.0,18.2,Ia,Type I
47.0,4588.0,18.7,Ib,Type I
48.0,6184.0,16.0,Ia,Type I
66.0,7890.0,15.8,Ib/c:,Type I
12.0,5482.0,18.0,Ic,Type I
27.0,8989.0,18.1,Ic:,Type I
54.0,14990.0,18.6,Ia,Type I
51.0,3101.0,16.4,Ia,Type I
30.0,48.0,13.2,I:,Type I
78.0,7495.0,17.5,Ia,Type I
36.0,2761.0,16.5,Ia,Type I
41.0,1424.0,13.8,Ia,Type I
87.0,4393.0,16.5,Ia,Type I
80.0,9021.0,17.5,Ia,Type I
78.0,8803.0,16.3,Ia:,Type I
50.0,16668.0,18.5,Ia,Type I
71.0,3899.0,15.6,Ia,Type I
24.0,16189.0,17.5,Ia,Type I
52.0,14787.0,18.8,Ia,Type I
40.0,5635.0,16.2,Ia,Type I
46.0,8021.0,18.2,Ib,Type I
61.0,7691.0,16.3,Ia,Type I
27.0,7188.0,16.2,Ia,Type I
44.0,16690.0,17.6,Ia,Type I
65.0,3709.0,14.3,Ia,Type I
68.0,5361.0,18.3,Ib/c,Type I
63.0,7271.0,15.9,Ia,Type I
72.0,7649.0,18.1,Ia,Type I
40.0,4078.0,16.0,Ia,Type I
90.0,1968.0,14.9,Ia,Type I
0.0,18008.0,18.5,Ia,Type I
27.0,5712.0,15.5,Ia,Type I
48.0,2288.0,16.7,Ic:,Type I
38.0,1430.0,13.4,IaPec,Type I
32.0,5915.0,15.9,Ia,Type I
12.0,9108.0,16.3,Ia,Type I
65.0,3963.0,15.2,Ia,Type I
44.0,5361.0,17.7,Ic,Type I
36.0,4561.0,17.0,Ib,Type I
34.0,3168.0,13.8,IaPec?,Type I
36.0,4980.0,14.5,Ia,Type I
41.0,5182.0,16.1,Ia,Type I
0.0,2379.0,13.3,IaPec,Type I
21.0,4485.0,14.9,Ia,Type I
24.0,657.0,12.4,IcPec,Type I
68.0,4876.0,16.5,Ia,Type I
82.0,14990.0,17.2,IaPec:,Type I
58.0,2233.0,13.7,Ia,Type I
43.0,5654.0,16.0,IcPec,Type I
60.0,9613.0,17.3,Ia,Type I
48.0,2798.0,15.7,Ib/c,Type I
44.0,3192.0,17.1,Ib,Type I
73.0,2678.0,13.9,Ia,Type I
27.0,6118.0,15.4,Ia,Type I
17.0,4750.0,16.0,Ia,Type I
90.0,2931.0,16.7,Ic,Type I
90.0,7423.0,15.5,Ia,Type I
24.0,10232.0,18.3,Ia,Type I
77.0,6271.0,19.5,Ic,Type I
56.0,5379.0,18.2,Ia,Type I
59.0,5155.0,16.3,Ia,Type I
24.0,10793.0,17.0,Ia,Type I
36.0,5257.0,16.6,IaPec,Type I
67.0,11542.0,16.4,Ia,Type I
51.0,5133.0,16.4,Ia,Type I
44.0,8852.0,15.5,Ia,Type I
24.0,11733.0,17.5,Ia,Type I
41.0,4990.0,16.8,Ia,Type I
41.0,2381.0,15.9,Ic,Type I
67.0,2194.0,15.3,Ia,Type I
46.0,3489.0,17.5,Ib,Type I
46.0,3489.0,15.1,Ia,Type I
62.0,7524.0,17.6,Ic:,Type I
24.0,9290.0,17.5,Ia,Type I
53.0,7531.0,17.2,Ia,Type I
27.0,4828.0,16.6,Ia,Type I
65.0,9034.0,17.2,Ia,Type I
65.0,9034.0,18.2,Ia,Type I
53.0,7100.0,18.8,Ia,Type I
60.0,2741.0,17.2,Ib,Type I
73.0,7495.0,17.5,Ia,Type I
54.0,2142.0,14.3,Ia,Type I
60.0,6790.0,17.8,Ic,Type I
36.0,1602.0,19.1,Ib,Type I
61.0,1939.0,15.4,Ic:,Type I
43.0,3120.0,16.6,Ib/c,Type I
90.0,2215.0,14.3,Ia,Type I
54.0,4603.0,18.0,Ib,Type I
41.0,13922.0,18.5,Ib/c,Type I
57.0,7495.0,17.0,Ia,Type I
40.0,4547.0,15.0,Ia,Type I
53.0,3901.0,15.0,Ia,Type I
62.0,9620.0,17.4,Ia,Type I
61.0,5436.0,18.8,Ia,Type I
81.0,3813.0,17.0,Ia,Type I
72.0,2716.0,17.0,Ia,Type I
53.0,6408.0,16.0,Ia,Type I
74.0,6401.0,17.7,Ia,Type I
76.0,3793.0,16.3,Ia,Type I
78.0,4377.0,17.3,IaPec,Type I
60.0,3945.0,17.3,I:,Type I
53.0,9509.0,18.0,Ia,Type I
44.0,5169.0,15.9,Ia,Type I
68.0,5253.0,17.9,Ia,Type I
56.0,8819.0,15.9,Ia,Type I
71.0,1792.0,13.4,Ia,Type I
51.0,7024.0,17.0,Ia,Type I
53.0,1741.0,14.7,Ia,Type I
59.0,2446.0,16.0,Ia,Type I
52.0,6838.0,16.0,Ia,Type I
82.0,4963.0,15.9,Ia,Type I
24.0,2625.0,13.8,Ia,Type I
53.0,2492.0,14.2,Ia,Type I
90.0,7057.0,15.8,Ia,Type I
36.0,8190.0,18.0,Ia,Type I
51.0,3729.0,16.6,Ic,Type I
51.0,3729.0,16.4,IbPec,Type I
21.0,5462.0,17.0,Ic,Type I
58.0,7628.0,16.8,Ia,Type I
44.0,5774.0,15.5,Ia,Type I
79.0,4567.0,15.4,Ia,Type I
80.0,5192.0,16.0,Ia,Type I
90.0,5536.0,19.1,Ib/cPec,Type I
59.0,12528.0,16.5,Ib,Type I
58.0,2895.0,14.1,Ia,Type I
68.0,8517.0,17.3,Ia,Type I
30.0,6679.0,16.7,Ia,Type I
72.0,1330.0,14.0,Ia,Type I
38.0,6978.0,17.3,Ia,Type I
69.0,10390.0,17.3,Ia,Type I
21.0,2845.0,14.2,Ia,Type I
21.0,2845.0,14.2,Ia,Type I
36.0,2711.0,12.4,Ia,Type I
67.0,1552.0,14.1,Ic:,Type I
40.0,1635.0,14.7,Ic,Type I
80.0,7098.0,18.0,Ia,Type I
38.0,21397.0,21.6,Ic,Type I
36.0,4650.0,17.0,Ia,Type I
30.0,1583.0,12.8,I,Type I
71.0,7573.0,18.0,Ia,Type I
38.0,14397.0,17.4,Ia,Type I
59.0,1239.0,12.9,Ia,Type I
84.0,3042.0,14.0,I,Type I
68.0,1808.0,12.0,Ia,Type I
83.0,23264.0,18.5,Ia:,Type I
48.0,7685.0,16.5,Ia,Type I
78.0,2217.0,14.0,Ia,Type I
73.0,1736.0,11.6,IaPec?,Type I
41.0,1730.0,11.6,Ia,Type I
40.0,6906.0,15.9,Ia,Type I
82.0,6986.0,16.2,Ia,Type I
59.0,4030.0,15.3,Ib,Type I
21.0,7972.0,16.7,Ia,Type I
66.0,5996.0,20.9,Ic:,Type I
52.0,5400.0,17.5,IaPec,Type I
51.0,6845.0,16.1,Ia,Type I
66.0,7109.0,16.5,Ia,Type I
66.0,7651.0,17.6,Ia,Type I
52.0,1966.0,13.4,Ia,Type I
57.0,5322.0,17.6,Ib,Type I
62.0,5514.0,17.3,Ia:,Type I
24.0,6403.0,15.1,Ic,Type I
48.0,897.0,11.9,Ia,Type I
12.0,3037.0,14.4,Ia,Type I
12.0,3037.0,15.9,IaPec,Type I
24.0,9686.0,16.8,Ia,Type I
53.0,1981.0,13.0,Ia,Type I
30.0,11152.0,18.0,Ia,Type I
90.0,2197.0,15.0,Ia,Type I
71.0,448.0,11.8,Ia,Type I
47.0,12861.0,18.0,Ia,Type I
65.0,2255.0,14.5,Ib,Type I
65.0,2255.0,17.1,Ic,Type I
76.0,378.0,13.1,I,Type I
87.0,-122.0,13.3,Ic,Type I
47.0,993.0,14.1,Ic,Type I
47.0,993.0,15.0,Ib,Type I
54.0,1859.0,13.5,Ia,Type I
71.0,7615.0,16.1,Ia,Type I
38.0,1519.0,12.6,Ia,Type I
51.0,1010.0,12.7,Ia,Type I
27.0,13720.0,18.0,Ia,Type I
59.0,2281.0,13.4,Ia,Type I
73.0,-261.0,12.4,Ia,Type I
40.0,6870.0,16.5,Ia,Type I
36.0,1571.0,17.5,I,Type I
36.0,1571.0,15.6,I,Type I
40.0,729.0,12.0,I,Type I
34.0,7042.0,17.0,Ia,Type I
50.0,7115.0,17.8,Ia,Type I
64.0,727.0,11.9,Ia,Type I
50.0,1473.0,14.7,Ib/c,Type I
41.0,6197.0,17.5,Ia,Type I
60.0,9022.0,16.5,Ia,Type I
56.0,1279.0,13.2,Ia,Type I
30.0,10248.0,17.0,Ia,Type I
74.0,1283.0,17.5,Ic:,Type I
82.0,6306.0,15.5,Ia,Type I
38.0,14577.0,17.5,I,Type I
84.0,4502.0,14.5,Ia,Type I
60.0,4771.0,15.8,Ic,Type I
65.0,4550.0,14.8,Ia,Type I
77.0,3928.0,18.5,Ia,Type I
56.0,8639.0,17.8,Ia,Type I
63.0,2507.0,14.0,Ia,Type I
60.0,2678.0,17.5,Ic,Type I
60.0,2678.0,14.3,Ia,Type I
71.0,5197.0,17.4,Ia,Type I
41.0,4211.0,14.5,Ia,Type I
41.0,4211.0,17.5,Ia,Type I
90.0,5902.0,16.4,Ia,Type I
70.0,4794.0,15.2,IaPec,Type I
68.0,1573.0,17.6,Ib,Type I
82.0,6716.0,15.9,Ia,Type I
69.0,2569.0,14.6,Ia,Type I
57.0,8953.0,15.9,Ia,Type I
32.0,11754.0,17.2,Ia,Type I
61.0,2848.0,14.2,IaPec,Type I
43.0,1691.0,14.9,Ib,Type I
24.0,5268.0,15.5,Ia,Type I
83.0,4507.0,15.0,Ia,Type I
67.0,5556.0,17.5,IaPec,Type I
44.0,9193.0,16.6,Ia,Type I
12.0,4647.0,14.5,Ia,Type I
0.0,7043.0,16.6,Ia,Type I
85.0,7017.0,16.7,Ia,Type I
44.0,17598.0,18.1,Ia,Type I
56.0,13491.0,17.7,Ia,Type I
50.0,6686.0,16.5,Ia,Type I
17.0,16118.0,18.6,Ia,Type I
65.0,1000.0,17.0,Ia:,Type I
83.0,1164.0,12.7,Ia,Type I
53.0,19000.0,18.3,Ia,Type I
53.0,1636.0,13.5,Ib,Type I
55.0,1877.0,12.6,Ia,Type I
47.0,1367.0,15.0,IcPec,Type I
36.0,6138.0,17.2,Ia,Type I
69.0,5549.0,15.9,Ia,Type I
52.0,4361.0,15.4,Ia,Type I
27.0,5609.0,16.5,Ic,Type I
73.0,5996.0,15.2,Ia,Type I
80.0,11135.0,18.0,Ia,Type I
24.0,1703.0,17.6,Ia,Type I
61.0,1680.0,12.5,Ia,Type I
48.0,1396.0,14.8,Ib:,Type I
43.0,1407.0,16.0,Ib/c,Type I
74.0,1953.0,18.2,Ia,Type I
50.0,23684.0,18.5,Ia,Type I
17.0,2135.0,13.1,Ia,Type I
70.0,4218.0,16.5,Ic,Type I
52.0,5332.0,17.2,Ia,Type I
44.0,17138.0,18.3,Ia,Type I
68.0,1498.0,16.5,Ic,Type I
32.0,8745.0,16.5,Ia,Type I
64.0,10350.0,16.8,Ia,Type I
24.0,4480.0,16.6,Ib,Type I
52.0,1406.0,14.0,Ia,Type I
27.0,1532.0,14.0,Ib,Type I
24.0,5313.0,15.6,Ia,Type I
71.0,10793.0,17.4,Ia,Type I
56.0,21285.0,18.3,Ia:,Type I
46.0,1087.0,16.5,Ib/c,Type I
48.0,20686.0,18.8,Ia,Type I
34.0,3244.0,14.9,Ia,Type I
53.0,13491.0,17.9,Ia,Type I
46.0,3706.0,16.7,Ic,Type I
32.0,3559.0,17.2,Ic,Type I
47.0,17988.0,20.0,Ia,Type I
68.0,2731.0,16.0,Ia,Type I
41.0,2277.0,14.6,Ia,Type I
67.0,5096.0,18.0,Ia:,Type I
36.0,1695.0,15.1,Ia,Type I
48.0,10493.0,18.0,Ia,Type I
43.0,5865.0,17.8,Ia,Type I
62.0,1482.0,14.9,Ic,Type I
55.0,3733.0,14.5,IaPec,Type I
44.0,3080.0,16.3,Ia,Type I
41.0,547.0,12.5,Ia,Type I
68.0,2880.0,16.7,Ib,Type I
71.0,4612.0,14.5,Ia,Type I
53.0,15589.0,17.8,Ia,Type I
44.0,7080.0,15.9,Ia,Type I
38.0,7257.0,17.0,Ia,Type I
44.0,6019.0,17.2,Ic,Type I
69.0,404.0,8.4,Ia,Type I
69.0,404.0,8.0,I,Type I
90.0,4071.0,15.8,Ia,Type I
71.0,4653.0,16.0,Ic,Type I
24.0,516.0,11.4,Ib,Type I
55.0,13612.0,16.2,Ia,Type I
74.0,2168.0,16.0,Ic,Type I
74.0,9426.0,16.7,Ia,Type I
86.0,7795.0,16.6,Ia,Type I
86.0,2085.0,13.8,Ia,Type I
47.0,7347.0,17.1,Ib/c:,Type I
71.0,6758.0,15.9,Ic,Type I
32.0,10832.0,17.1,Ia,Type I
38.0,6355.0,17.6,Ia,Type I
30.0,15080.0,17.9,Ia,Type I
61.0,4333.0,14.8,Ia,Type I
47.0,4647.0,14.8,Ia,Type I
54.0,4534.0,16.9,Ia,Type I
48.0,3686.0,17.5,Ia,Type I
43.0,11992.0,17.3,Ia,Type I
56.0,4264.0,14.7,Ia,Type I
83.0,4793.0,18.0,Ic,Type I
56.0,7547.0,19.6,Ia,Type I
77.0,4197.0,14.6,Ia,Type I
52.0,16668.0,18.0,Ia,Type I
52.0,12891.0,17.3,Ia,Type I
82.0,3001.0,14.1,Ia,Type I
40.0,30279.0,19.4,Ia,Type I
79.0,1926.0,14.0,Ia,Type I
56.0,8102.0,17.5,Ic,Type I
38.0,2651.0,13.4,Ia,Type I
59.0,3422.0,16.6,Ib/c,Type I
59.0,3422.0,14.6,Ia,Type I
44.0,4388.0,14.9,Ia,Type I
30.0,3124.0,14.5,Ia,Type I
90.0,2847.0,16.5,Ia,Type I
32.0,2548.0,13.6,Ic,Type I
41.0,2579.0,15.4,Ia,Type I
63.0,3257.0,15.0,Ia,Type I
63.0,3257.0,14.1,Ia,Type I
90.0,10500.0,17.0,Ia,Type I
0.0,5805.0,16.8,Ia,Type I
41.0,12892.0,17.6,Ia,Type I
83.0,2617.0,14.0,I,Type I
43.0,5418.0,16.0,Ia,Type I
44.0,3161.0,15.3,Ia,Type I
68.0,8217.0,16.5,Ia,Type I
51.0,6985.0,17.0,Ia,Type I
68.0,8669.0,17.5,Ia,Type I
